"Group","DistanceToCentroid"
"SC_Quina",1.35156799839716
"SC_Quina",1.98379497462247
"SC_Quina",1.45478382794014
"SC_Quina",1.67151582597224
"SC_Quina",1.40232439395242
"SC_Quina",2.12035465563435
"SC_Quina",1.58397334410999
"SC_Quina",1.79062913166312
"SC_Quina",2.14221199317248
"SC_Quina",1.55941169854729
"SC_Quina",2.61473183192635
"SC_Quina",1.95900688990436
"SC_Quina",1.29809012388879
"SC_Quina",1.53634861756793
"SC_Quina",2.42295572679733
"SC_Quina",1.14677909003123
"SC_Quina",1.69258211700481
"SC_Quina",1.73381473745599
"SC_Quina",2.42168851318843
"SC_Quina",1.76276624065504
"SC_Quina",2.03657505062914
"SC_Quina",1.24733882216964
"SC_Quina",2.20941479303082
"SC_Quina",1.76783024818319
"SC_Quina",2.23539893001098
"SC_Quina",4.0385019828786
"SC_Quina",1.25807831712706
"SC_Quina",1.77385631718698
"SC_Quina",1.19613717034575
"SC_Quina",1.45994970475566
"SC_Quina",2.2400519576559
"SC_Quina",2.0583257100753
"SC_Quina",2.70392018219007
"SC_Quina",1.64955596272105
"SC_Quina",2.83585588854607
"SC_Quina",2.30853972002356
"SC_Quina",1.53524526401032
"SC_Quina",1.7396549390173
"SC_Quina",1.51333191608809
"SC_Quina",2.2407711443792
"SC_Quina",1.28207939915977
"SC_Quina",1.72300589463729
"SC_Quina",1.46571056246205
"SC_Quina",2.20133519184037
"SC_Quina",2.49528916532949
"SC_Quina",2.20988573580717
"SC_Quina",2.33042801185548
"SC_Quina",1.52486365184041
"SC_Quina",1.35966818570408
"SC_Quina",2.80072394563435
"SC_Quina",2.06704610434778
"SC_Quina",1.0848262708207
"SC_Quina",3.13883626406438
"SC_Quina",1.85065153169184
"SC_Quina",1.46476538438533
"SC_Quina",1.8811346005892
"SC_Quina",1.68098898000714
"SC_Quina",1.19501953432349
"SC_Quina",2.82212259986786
"SC_Quina",4.5276830703443
"SC_Quina",5.07962703807774
"SC_Quina",1.28249049683618
"SC_Quina",3.73658042957072
"SC_Quina",1.9643862428365
"SC_Quina",3.20030322754287
"SC_Quina",3.15441334001635
"SC_Quina",4.16558753810078
"SC_Quina",2.80686028049196
"SC_Quina",1.87204837206192
"SC_Quina",1.71490065632806
"SC_Quina",2.66584536172207
"SC_Quina",2.57379349972809
"SC_Quina",1.66890438353643
"SC_Quina",1.87769721624557
"SC_Quina",1.89580677455712
"SC_Quina",1.85971372645493
"SC_Quina",1.56696374044869
"SC_Quina",1.58453668336395
"SC_Quina",1.59176159276861
"SC_Quina",1.71400189899758
"SC_Quina",3.62931891628869
"SC_Quina",2.23493566978967
"SC_Quina",5.24565021123986
"SC_Quina",4.62134792077222
"SC_Quina",1.94969948292632
"SC_Quina",2.90182145859633
"SC_Quina",1.72895452366716
"SC_Quina",2.19620917470625
"SC_Quina",1.70037266045255
"SC_Quina",1.48567788126908
"SC_Quina",1.99889109166038
"SC_Quina",2.62776137812294
"SC_Quina",4.73518798147196
"SC_Quina",3.08261058477755
"SC_Quina",4.14702004979157
"SC_Quina",6.26555672917646
"SC_Quina",3.11669054871178
"SC_Quina",2.04399323138943
"LT_Quina",1.645764504916
"LT_Quina",0.541941574276692
"LT_Quina",1.28037748073267
"LT_Quina",2.61022295728266
"LT_Quina",1.81950719616609
"LT_Quina",2.33331516973839
"LT_Quina",1.71524898458901
"LT_Quina",2.04891532792526
"LT_Quina",1.85492471014599
"LT_Quina",1.43460061938217
"LT_Quina",3.04832170700718
"LT_Quina",2.15356464129317
"LT_Quina",0.799731749070701
"LT_Quina",1.43272315398198
"LT_Quina",1.96272508435635
"LT_Quina",1.50337265186724
"LT_Quina",1.83943305798177
"LT_Quina",1.5083701421217
"LT_Quina",2.70866710397282
"LT_Quina",0.963334858223816
"LT_Quina",1.45024990465652
"LT_Quina",1.82376484139824
"LT_Quina",2.01745324534446
"LT_Quina",1.95138889829956
"LT_Quina",1.70174598705128
"LT_Quina",1.76003213596885
"LT_Quina",2.24216134105928
"LT_Quina",4.33422778385364
"LT_Quina",3.62916165885569
"LT_Quina",3.32629575445216
"LT_Quina",3.68053234097072
"LT_Quina",2.81641325480202
"LT_Quina",1.29418717932393
"LT_Quina",1.75519048604957
